query,case,seed,runtime_seconds
15d,3,2,1.57
24a,3,2,2.20
24b,3,2,1.89
1a,3,3,0.15
1b,3,3,0.11
1c,3,3,0.11
1d,3,3,0.11
2a,3,3,0.32
2b,3,3,0.29
2c,3,3,0.09
3a,3,3,1.30
3b,3,3,0.98
3c,3,3,1.52
4a,3,3,0.38
4b,3,3,0.23
5a,3,3,0.08
5b,3,3,0.07
5c,3,3,1.06
6a,3,3,0.56
6b,3,3,0.48
6d,3,3,1.09
10a,3,3,1.62
10b,3,3,1.62
10c,3,3,2.61
15a,3,3,1.63
15b,3,3,1.34
15c,3,3,1.65
15d,3,3,1.49
24a,3,3,2.37
24b,3,3,2.08
1a,3,4,0.87
1b,3,4,0.34
1c,3,4,0.25
1d,3,4,0.51
2a,3,4,0.85
2b,3,4,0.83
2c,3,4,0.80
3a,3,4,1.39
3b,3,4,0.96
3c,3,4,1.69
4a,3,4,0.52
4b,3,4,0.30
5a,3,4,0.40
5b,3,4,0.24
5c,3,4,1.50
6a,3,4,0.55
6b,3,4,0.95
6d,3,4,1.31
10a,3,4,1.85
10b,3,4,1.69
10c,3,4,2.86
15a,3,4,1.34
15b,3,4,1.18
15c,3,4,1.33
15d,3,4,1.16
24a,3,4,2.39
24b,3,4,2.06
1a,3,5,0.85
1b,3,5,0.32
1c,3,5,0.25
1d,3,5,0.51
2a,3,5,0.86
2b,3,5,0.86
2c,3,5,0.79
3a,3,5,1.31
3b,3,5,0.98
3c,3,5,1.51
4a,3,5,0.55
4b,3,5,0.31
5a,3,5,0.39
5b,3,5,0.24
5c,3,5,1.52
6a,3,5,0.55
6b,3,5,0.93
6d,3,5,1.33
10a,3,5,1.85
10b,3,5,1.70
10c,3,5,2.88
15a,3,5,1.65
15b,3,5,1.34
15c,3,5,1.64
15d,3,5,1.46
24a,3,5,2.14
24b,3,5,1.73
1a,3,6,0.86
1b,3,6,0.33
1c,3,6,0.24
1d,3,6,0.52
2a,3,6,0.87
2b,3,6,0.87
2c,3,6,0.78
3a,3,6,1.36
3b,3,6,0.97
3c,3,6,1.67
4a,3,6,0.59
4b,3,6,0.31
5a,3,6,0.40
5b,3,6,0.24
5c,3,6,1.42
6a,3,6,0.57
6b,3,6,0.47
6d,3,6,1.10
10a,3,6,1.92
10b,3,6,1.70
10c,3,6,2.82
15a,3,6,1.38
15b,3,6,0.99
15c,3,6,1.49
15d,3,6,1.35
24a,3,6,2.26
24b,3,6,2.14
1a,3,7,0.82
1b,3,7,0.34
1c,3,7,0.24
1d,3,7,0.52
2a,3,7,0.87
2b,3,7,0.86
2c,3,7,0.80
3a,3,7,1.29
3b,3,7,0.96
3c,3,7,1.52
4a,3,7,0.55
4b,3,7,0.33
5a,3,7,0.40
5b,3,7,0.24
5c,3,7,1.64
6a,3,7,0.47
6b,3,7,0.92
6d,3,7,1.11
10a,3,7,1.86
10b,3,7,1.67
10c,3,7,2.85
15a,3,7,1.43
15b,3,7,1.22
15c,3,7,1.47
15d,3,7,1.31
24a,3,7,2.19
24b,3,7,1.90
1a,3,8,0.14
1b,3,8,0.11
1c,3,8,0.11
1d,3,8,0.11
2a,3,8,0.33
2b,3,8,0.29
2c,3,8,0.09
3a,3,8,1.29
3b,3,8,0.99
3c,3,8,1.53
4a,3,8,0.35
4b,3,8,0.23
5a,3,8,0.08
5b,3,8,0.08
5c,3,8,1.14
6a,3,8,0.48
6b,3,8,0.93
6d,3,8,1.11
10a,3,8,1.85
10b,3,8,1.74
10c,3,8,2.89
15a,3,8,1.32
15b,3,8,0.98
15c,3,8,1.43
15d,3,8,1.25
24a,3,8,2.27
24b,3,8,1.86
1a,3,9,0.87
1b,3,9,0.33
1c,3,9,0.24
1d,3,9,0.51
2a,3,9,0.92
2b,3,9,0.87
2c,3,9,0.80
3a,3,9,1.07
3b,3,9,0.90
3c,3,9,1.13
4a,3,9,0.52
4b,3,9,0.31
5a,3,9,0.40
5b,3,9,0.24
5c,3,9,1.45
6a,3,9,0.55
6b,3,9,0.51
6d,3,9,1.13
10a,3,9,1.83
10b,3,9,1.69
10c,3,9,2.82
15a,3,9,1.33
15b,3,9,1.19
15c,3,9,1.38
15d,3,9,1.20
24a,3,9,2.28
24b,3,9,2.06
1a,4,0,0.53
1b,4,0,0.25
1c,4,0,0.20
1d,4,0,0.35
2a,4,0,0.57
2b,4,0,0.59
2c,4,0,0.49
3a,4,0,1.27
3b,4,0,0.96
3c,4,0,1.44
4a,4,0,0.40
4b,4,0,0.26
5a,4,0,0.29
5b,4,0,0.20
5c,4,0,1.24
6a,4,0,0.51
6b,4,0,0.68
6d,4,0,0.90
10a,4,0,1.40
10b,4,0,1.29
10c,4,0,2.23
15a,4,0,1.17
15b,4,0,0.99
15c,4,0,1.19
15d,4,0,0.95
24a,4,0,1.77
24b,4,0,1.61
1a,4,1,0.53
1b,4,1,0.25
1c,4,1,0.20
1d,4,1,0.35
2a,4,1,0.58
2b,4,1,0.58
2c,4,1,0.49
3a,4,1,1.19
3b,4,1,0.92
3c,4,1,1.33
4a,4,1,0.38
4b,4,1,0.27
5a,4,1,0.29
5b,4,1,0.20
5c,4,1,1.30
6a,4,1,0.50
6b,4,1,0.67
6d,4,1,0.88
10a,4,1,1.37
10b,4,1,1.29
10c,4,1,2.18
15a,4,1,1.11
15b,4,1,0.87
15c,4,1,1.13
15d,4,1,0.92
24a,4,1,1.77
24b,4,1,1.62
1a,4,2,0.15
1b,4,2,0.11
1c,4,2,0.11
1d,4,2,0.12
2a,4,2,0.30
2b,4,2,0.29
2c,4,2,0.09
3a,4,2,1.18
3b,4,2,0.95
3c,4,2,1.33
4a,4,2,0.32
4b,4,2,0.23
5a,4,2,0.08
5b,4,2,0.07
5c,4,2,1.13
6a,4,2,0.47
6b,4,2,0.66
6d,4,2,0.81
10a,4,2,1.35
10b,4,2,1.26
10c,4,2,2.23
15a,4,2,1.17
15b,4,2,0.96
15c,4,2,1.15
15d,4,2,0.96
24a,4,2,1.68
24b,4,2,1.45
1a,4,3,0.14
1b,4,3,0.11
1c,4,3,0.11
1d,4,3,0.11
2a,4,3,0.31
2b,4,3,0.29
2c,4,3,0.09
3a,4,3,1.18
3b,4,3,0.95
3c,4,3,1.32
4a,4,3,0.34
4b,4,3,0.23
5a,4,3,0.08
5b,4,3,0.08
5c,4,3,1.07
6a,4,3,0.51
6b,4,3,0.47
6d,4,3,0.81
10a,4,3,1.30
10b,4,3,1.25
10c,4,3,2.07
15a,4,3,1.19
15b,4,3,0.97
15c,4,3,1.12
15d,4,3,0.95
24a,4,3,1.79
24b,4,3,1.64
1a,4,4,0.54
1b,4,4,0.25
1c,4,4,0.20
1d,4,4,0.36
2a,4,4,0.55
2b,4,4,0.55
2c,4,4,0.49
3a,4,4,1.27
3b,4,4,0.96
3c,4,4,1.46
4a,4,4,0.39
4b,4,4,0.26
5a,4,4,0.30
5b,4,4,0.20
5c,4,4,1.31
6a,4,4,0.52
6b,4,4,0.66
6d,4,4,0.89
10a,4,4,1.37
10b,4,4,1.27
10c,4,4,2.20
15a,4,4,1.05
15b,4,4,0.90
15c,4,4,0.98
15d,4,4,0.80
24a,4,4,1.80
24b,4,4,1.65
1a,4,5,0.53
1b,4,5,0.25
1c,4,5,0.20
1d,4,5,0.35
2a,4,5,0.55
2b,4,5,0.56
2c,4,5,0.49
3a,4,5,1.20
3b,4,5,0.97
3c,4,5,1.31
4a,4,5,0.41
4b,4,5,0.27
5a,4,5,0.29
5b,4,5,0.20
5c,4,5,1.31
6a,4,5,0.52
6b,4,5,0.67
6d,4,5,0.88
10a,4,5,1.41
10b,4,5,1.28
10c,4,5,2.18
15a,4,5,1.18
15b,4,5,0.97
15c,4,5,1.12
15d,4,5,0.91
24a,4,5,1.69
24b,4,5,1.32
1a,4,6,0.53
1b,4,6,0.25
1c,4,6,0.20
1d,4,6,0.34
2a,4,6,0.57
2b,4,6,0.55
2c,4,6,0.50
3a,4,6,1.29
3b,4,6,0.96
3c,4,6,1.45
4a,4,6,0.46
4b,4,6,0.27
5a,4,6,0.29
5b,4,6,0.20
5c,4,6,1.25
6a,4,6,0.52
6b,4,6,0.47
6d,4,6,0.84
10a,4,6,1.37
10b,4,6,1.30
10c,4,6,2.18
15a,4,6,1.11
15b,4,6,0.84
15c,4,6,1.08
15d,4,6,0.91
24a,4,6,1.71
24b,4,6,1.60
1a,4,7,0.54
1b,4,7,0.25
1c,4,7,0.20
1d,4,7,0.35
2a,4,7,0.56
2b,4,7,0.54
2c,4,7,0.48
3a,4,7,1.18
3b,4,7,0.95
3c,4,7,1.31
4a,4,7,0.41
4b,4,7,0.27
5a,4,7,0.29
5b,4,7,0.20
