dataset_id,treatment_case,bf_cost_multiplier,model,query_count,query_geomean_adjusted_speedup_vs_baseline,queries_still_faster,queries_now_slower
tpch_sf100_t64,4,1.5,cpu_share,22,0.999784795,6,12
tpch_sf100_t64,4,2,cpu_share,22,0.985118714,3,15
tpch_sf100_t64,4,4,cpu_share,22,0.93385564,2,16
tpch_sf100_t64,4,8,cpu_share,22,0.852287472,0,18
tpch_sf100_t8,2,1,cpu_share,22,1.26240375,9,4
tpch_sf100_t8,2,1.5,cpu_share,22,1.21091041,9,5
tpch_sf100_t8,2,2,cpu_share,22,1.16671504,9,5
tpch_sf100_t8,2,4,cpu_share,22,1.03984314,5,9
tpch_sf100_t8,2,8,cpu_share,22,0.888634639,1,13
tpch_sf100_t8,4,1,cpu_share,22,1.39951708,15,2
tpch_sf100_t8,4,1.5,cpu_share,22,1.29809628,15,3
tpch_sf100_t8,4,2,cpu_share,22,1.2175091,15,3
tpch_sf100_t8,4,4,cpu_share,22,0.998746008,7,11
tpch_sf100_t8,4,8,cpu_share,22,0.774448764,3,15
tpch_sf10_t1,2,1,cpu_share,22,1.23660758,14,2
tpch_sf10_t1,2,1,direct_add,22,1.23660758,14,2
tpch_sf10_t1,2,1.5,cpu_share,22,1.20528717,14,3
tpch_sf10_t1,2,1.5,direct_add,22,1.20749821,14,3
tpch_sf10_t1,2,2,cpu_share,22,1.17767784,13,4
tpch_sf10_t1,2,2,direct_add,22,1.18147982,13,4
tpch_sf10_t1,2,4,cpu_share,22,1.09135285,12,5
tpch_sf10_t1,2,4,direct_add,22,1.09931807,13,4
tpch_sf10_t1,2,8,cpu_share,22,0.974819647,11,6
tpch_sf10_t1,2,8,direct_add,22,0.986962745,11,6
tpch_sf10_t1,4,1,cpu_share,22,1.4245531,17,3
tpch_sf10_t1,4,1,direct_add,22,1.4245531,17,3
tpch_sf10_t1,4,1.5,cpu_share,22,1.34063087,16,4
tpch_sf10_t1,4,1.5,direct_add,22,1.34677365,16,4
tpch_sf10_t1,4,2,cpu_share,22,1.27089378,16,4
tpch_sf10_t1,4,2,direct_add,22,1.28132341,16,4
tpch_sf10_t1,4,4,cpu_share,22,1.07314651,11,9
tpch_sf10_t1,4,4,direct_add,22,1.09207654,11,9
