dataset_id,benchmark,suite,scale_factor,threads,comparison,query_count,queries_with_paired_success,query_geomean_of_median_speedup,query_median_of_median_speedup,queries_treatment_faster,queries_treatment_slower,queries_tied,queries_at_least_10pct_faster,queries_at_least_2x_faster
tpch_sf100_t64,TPCH SF100,tpch,100,64,thc_vs_forward,22,22,0.949348159,0.99789916,3,11,8,0,0
tpch_sf100_t8,TPCH SF100,tpch,100,8,backward_vs_forward,22,22,1.11537409,1.01736164,11,3,8,7,0
tpch_sf100_t8,TPCH SF100,tpch,100,8,forward_vs_baseline,22,22,1.26240375,1,9,4,9,9,2
tpch_sf100_t8,TPCH SF100,tpch,100,8,full_vs_baseline,22,22,1.39951708,1.34692665,15,2,5,14,4
tpch_sf100_t8,TPCH SF100,tpch,100,8,full_vs_thc,22,22,1.21817983,1.19735586,17,1,4,12,1
tpch_sf100_t8,TPCH SF100,tpch,100,8,thc_vs_baseline,22,22,1.15706203,1,9,8,5,8,2
tpch_sf100_t8,TPCH SF100,tpch,100,8,thc_vs_forward,22,22,0.917339739,0.970793272,1,13,8,0,0
tpch_sf10_t1,TPCH SF10,tpch,10,1,backward_vs_forward,22,22,1.1430001,1.00764464,13,7,2,8,1
tpch_sf10_t1,TPCH SF10,tpch,10,1,forward_vs_baseline,22,22,1.23660758,1.00383824,14,2,6,8,3
tpch_sf10_t1,TPCH SF10,tpch,10,1,full_vs_baseline,22,22,1.4245531,1.34762722,17,3,2,13,4
tpch_sf10_t1,TPCH SF10,tpch,10,1,full_vs_thc,22,22,1.19829905,1.12830092,16,2,4,11,1
tpch_sf10_t1,TPCH SF10,tpch,10,1,thc_vs_baseline,22,22,1.18222738,1.00110867,11,6,5,7,3
tpch_sf10_t1,TPCH SF10,tpch,10,1,thc_vs_forward,22,22,0.955918721,0.995024909,2,12,8,0,0
tpch_sf10_t64,TPCH SF10,tpch,10,64,backward_vs_forward,22,22,0.989585425,1,5,7,10,0,0
tpch_sf10_t64,TPCH SF10,tpch,10,64,forward_vs_baseline,22,22,1.00851267,1,5,3,14,1,0
tpch_sf10_t64,TPCH SF10,tpch,10,64,full_vs_baseline,22,22,0.997352677,1,8,6,8,1,0
tpch_sf10_t64,TPCH SF10,tpch,10,64,full_vs_thc,22,22,1.04094376,1.0115123,12,4,6,3,0
tpch_sf10_t64,TPCH SF10,tpch,10,64,thc_vs_baseline,22,22,0.960578979,0.996031746,4,11,7,1,0
tpch_sf10_t64,TPCH SF10,tpch,10,64,thc_vs_forward,22,22,0.959642658,0.996031746,0,11,11,0,0
tpch_sf10_t8,TPCH SF10,tpch,10,8,backward_vs_forward,22,22,1.08826928,1,8,0,14,7,0
tpch_sf10_t8,TPCH SF10,tpch,10,8,forward_vs_baseline,22,22,1.21692328,1,9,0,13,9,2
