dataset_id,query,treatment_case,bf_cost_multiplier,model,seed_count,median_adjusted_speedup_vs_baseline,geomean_adjusted_speedup_vs_baseline,seed_win_rate
job_t1,10a,4,1.5,cpu_share,20,1.64057918,1.60573234,1
job_t1,10a,4,1.5,direct_add,20,1.64421034,1.60929715,1
job_t1,10a,4,2,cpu_share,20,1.5969139,1.56272777,1
job_t1,10a,4,2,direct_add,20,1.60380897,1.56949479,1
job_t1,10a,4,4,cpu_share,20,1.44102259,1.41151881,0.85
job_t1,10a,4,4,direct_add,20,1.45813135,1.42820455,0.85
job_t1,10a,4,8,cpu_share,20,1.20411138,1.18266103,0.55
job_t1,10a,4,8,direct_add,20,1.23230226,1.21030445,0.6
job_t1,10b,2,1,cpu_share,20,1.04985075,1.24141031,0.6
job_t1,10b,2,1,direct_add,20,1.04985075,1.24141031,0.6
job_t1,10b,2,1.5,cpu_share,20,1.01087942,1.19721091,0.55
job_t1,10b,2,1.5,direct_add,20,1.014992,1.20085418,0.55
job_t1,10b,2,2,cpu_share,20,0.967236771,1.15620099,0.4
job_t1,10b,2,2,direct_add,20,0.973902995,1.16298915,0.4
job_t1,10b,2,4,cpu_share,20,0.847400829,1.01784869,0.3
job_t1,10b,2,4,direct_add,20,0.860839933,1.03357384,0.3
job_t1,10b,2,8,cpu_share,20,0.710698108,0.823501187,0.3
job_t1,10b,2,8,direct_add,20,0.726657107,0.84741355,0.3
job_t1,10b,4,1,cpu_share,20,1.77205882,1.53192041,0.7
job_t1,10b,4,1,direct_add,20,1.77205882,1.53192041,0.7
job_t1,10b,4,1.5,cpu_share,20,1.68597478,1.4644589,0.65
job_t1,10b,4,1.5,direct_add,20,1.6934523,1.47017788,0.65
job_t1,10b,4,2,cpu_share,20,1.60786705,1.40282868,0.6
job_t1,10b,4,2,direct_add,20,1.6215235,1.41333848,0.6
job_t1,10b,4,4,cpu_share,20,1.35649355,1.2015667,0.55
job_t1,10b,4,4,direct_add,20,1.38603848,1.22480204,0.55
job_t1,10b,4,8,cpu_share,20,1.0333786,0.935444563,0.55
job_t1,10b,4,8,direct_add,20,1.07390596,0.968508428,0.55
job_t1,10c,2,1,cpu_share,20,0.985097059,0.988395723,0.2
job_t1,10c,2,1,direct_add,20,0.985097059,0.988395723,0.2
job_t1,10c,2,1.5,cpu_share,20,0.9842363,0.987566622,0.2
job_t1,10c,2,1.5,direct_add,20,0.984283171,0.987610317,0.2
job_t1,10c,2,2,cpu_share,20,0.983377053,0.986738923,0.2
job_t1,10c,2,2,direct_add,20,0.983470637,0.986826171,0.2
job_t1,10c,2,4,cpu_share,20,0.980161765,0.983442072,0.2
job_t1,10c,2,4,direct_add,20,0.980422131,0.983702113,0.2
job_t1,10c,2,8,cpu_share,20,0.973804122,0.976914568,0.2
job_t1,10c,2,8,direct_add,20,0.974403982,0.977513503,0.2
job_t1,10c,4,1,cpu_share,20,0.811385512,0.812577892,0
job_t1,10c,4,1,direct_add,20,0.811385512,0.812577892,0
job_t1,10c,4,1.5,cpu_share,20,0.81065839,0.811783279,0
job_t1,10c,4,1.5,direct_add,20,0.810694882,0.811818497,0
job_t1,10c,4,2,cpu_share,20,0.809932571,0.810990226,0
job_t1,10c,4,2,direct_add,20,0.810005426,0.811060528,0
job_t1,10c,4,4,cpu_share,20,0.807042246,0.807833521,0
job_t1,10c,4,4,direct_add,20,0.807259293,0.80804282,0
job_t1,10c,4,8,cpu_share,20,0.801323042,0.801593601,0
job_t1,10c,4,8,direct_add,20,0.80182251,0.802074597,0
job_t1,11a,2,1,cpu_share,20,1.18333333,1.17169058,0.6
job_t1,11a,2,1,direct_add,20,1.18333333,1.17169058,0.6
job_t1,11a,2,1.5,cpu_share,20,1.14449057,1.12998549,0.6
