dataset_id,benchmark,suite,scale_factor,threads,query,case,case_name,success_count,timeout_count,oom_count,completion_rate,min_runtime,median_runtime_success,p10_runtime_success,p90_runtime_success,iqr_runtime_success,cv_runtime_success,p90_p50,median_capped_runtime,median_regret,p90_regret,within_10pct_oracle_rate,bad_plan_rate_over_2x,best_seed
job_t1,job,job,,1,19d,2,Forward-only,20,0,0,1,1.74,2.25,1.942,3.758,0.9725,0.309316863,1.67022222,2.25,0.293103448,1.15977011,0.1,0.15,16
job_t1,job,job,,1,19d,3,THC,20,0,0,1,1.75,2.3,1.984,3.955,0.95,0.322258904,1.71956522,2.3,0.314285714,1.26,0.05,0.2,16
job_t1,job,job,,1,19d,4,RPT+,20,0,0,1,1.22,1.74,1.24,3.095,1.0675,0.389046961,1.77873563,1.74,0.426229508,1.53688525,0.15,0.3,18
job_t1,job,job,,1,20a,1,Baseline,20,0,0,1,1.37,9.57,2.011,26.018,13.155,0.798297043,2.71870428,9.57,5.98540146,17.9912409,0.05,0.8,0
job_t1,job,job,,1,20a,2,Forward-only,20,0,0,1,1.13,1.445,1.205,1.64,0.1825,0.11436216,1.1349481,1.445,0.278761062,0.451327434,0.15,0,10
job_t1,job,job,,1,20a,3,THC,20,0,0,1,1.13,1.44,1.195,1.633,0.1775,0.115950401,1.13402778,1.44,0.274336283,0.445132743,0.15,0,10
job_t1,job,job,,1,20a,4,RPT+,20,0,0,1,1.11,1.29,1.156,1.371,0.095,0.0674044706,1.0627907,1.29,0.162162162,0.235135135,0.15,0,1
job_t1,job,job,,1,20b,1,Baseline,20,0,0,1,0.61,1.545,0.763,10.006,7.05,1.12831401,6.4763754,1.545,1.53278689,15.4032787,0.05,0.55,1
job_t1,job,job,,1,20b,2,Forward-only,20,0,0,1,0.88,0.97,0.92,1.19,0.0825,0.0986081003,1.22680412,0.97,0.102272727,0.352272727,0.5,0,0
job_t1,job,job,,1,20b,3,THC,20,0,0,1,0.89,0.98,0.91,1.171,0.0875,0.0962313348,1.19489796,0.98,0.101123596,0.315730337,0.5,0,0
job_t1,job,job,,1,20b,4,RPT+,20,0,0,1,0.9,0.93,0.909,1.01,0.0425,0.0372452821,1.08602151,0.93,0.0333333333,0.122222222,0.8,0,3
