dataset_id,benchmark,suite,scale_factor,threads,query,comparison,base_case,treatment_case,paired_success_count,treatment_completion_win_count,treatment_completion_loss_count,both_failed_count,median_speedup,geomean_speedup,p10_speedup,p90_speedup,treatment_win_rate_paired,tie_rate_paired,helped_at_least_10pct_rate,hurt_at_least_10pct_rate,at_least_2x_speedup_rate
job_t1,job,job,,1,2b,thc_vs_baseline,1,3,20,0,0,0,1.83111954,2.04496008,1.52919786,2.77741935,1,0,1,0,0.3
job_t1,job,job,,1,2b,full_vs_baseline,1,4,20,0,0,0,2.15517241,2.41537707,1.79310345,3.01034483,1,0,1,0,0.7
job_t1,job,job,,1,2b,thc_vs_forward,2,3,20,0,0,0,1,1.00236964,0.997142857,1.02941176,0.2,0.7,0,0,0
job_t1,job,job,,1,2b,backward_vs_forward,2,4,20,0,0,0,1.17241379,1.18393541,0.996774194,1.89655172,0.65,0.25,0.6,0,0
job_t1,job,job,,1,2b,full_vs_thc,3,4,20,0,0,0,1.17241379,1.18113654,0.996774194,1.86551724,0.65,0.25,0.6,0,0
job_t1,job,job,,1,2c,forward_vs_baseline,1,2,20,0,0,0,5.78571429,5.62764618,1.85059524,9.56666667,1,0,1,0,0.85
job_t1,job,job,,1,2c,thc_vs_baseline,1,3,20,0,0,0,5.78571429,5.57879944,1.84342857,9.56666667,1,0,1,0,0.85
job_t1,job,job,,1,2c,full_vs_baseline,1,4,20,0,0,0,6.40909091,7.05061575,4.28571429,10.975,1,0,1,0,1
job_t1,job,job,,1,2c,thc_vs_forward,2,3,20,0,0,0,1,0.991320219,0.996,1,0,0.9,0,0.05,0
job_t1,job,job,,1,2c,backward_vs_forward,2,4,20,0,0,0,1,1.25285342,0.818181818,6.0125,0.15,0.55,0.15,0.3,0.15
job_t1,job,job,,1,2c,full_vs_thc,3,4,20,0,0,0,1,1.26382313,0.818181818,6.1375,0.2,0.5,0.2,0.3,0.15
job_t1,job,job,,1,2d,forward_vs_baseline,1,2,20,0,0,0,1.20135135,1.29208541,1.14208494,1.24742138,1,0,1,0,0.05
job_t1,job,job,,1,2d,thc_vs_baseline,1,3,20,0,0,0,1.19574468,1.28591819,1.1512285,1.22264151,1,0,1,0,0.05
job_t1,job,job,,1,2d,full_vs_baseline,1,4,20,0,0,0,1.72638146,1.9919413,1.43902439,2.56176471,1,0,1,0,0.25
job_t1,job,job,,1,2d,thc_vs_forward,2,3,20,0,0,0,1,0.995226927,0.976595745,1.02103401,0.25,0.3,0,0,0
job_t1,job,job,,1,2d,backward_vs_forward,2,4,20,0,0,0,1.52040816,1.54164832,1.21707317,2.13970588,1,0,1,0,0.15
job_t1,job,job,,1,2d,full_vs_thc,3,4,20,0,0,0,1.50020008,1.54904202,1.21707317,2.11764706,1,0,1,0,0.15
