dataset_id,benchmark,threads,query,baseline_best_seed,case1_runtime_on_baseline_best_seed,case2_runtime_on_baseline_best_seed,case3_runtime_on_baseline_best_seed,case4_runtime_on_baseline_best_seed,case1_status_on_baseline_best_seed,case2_status_on_baseline_best_seed,case3_status_on_baseline_best_seed,case4_status_on_baseline_best_seed,case2_speedup_vs_baseline_on_anchor,case3_speedup_vs_baseline_on_anchor,case4_speedup_vs_baseline_on_anchor,case1_own_best_runtime,case2_own_best_runtime,case3_own_best_runtime,case4_own_best_runtime,case1_own_best_seed,case2_own_best_seed,case3_own_best_seed,case4_own_best_seed
tpcds_sf10_t1,TPCDS SF10,1,Q83,0,0.51,0.21,0.21,0.21,success,success,success,success,2.42857143,2.42857143,2.42857143,0.51,0.21,0.21,0.21,0,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q84,0,0.31,0.31,0.31,0.21,success,success,success,success,1,1,1.47619048,0.31,0.31,0.31,0.21,0,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q85,0,0.92,1.03,0.93,1.03,success,success,success,success,0.893203883,0.989247312,0.893203883,0.92,0.92,0.92,0.92,0,2,14,2
tpcds_sf10_t1,TPCDS SF10,1,Q86,0,0.51,0.62,0.62,0.62,success,success,success,success,0.822580645,0.822580645,0.822580645,0.51,0.62,0.62,0.62,0,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q87,4,2.97,3.07,3.07,2.77,success,success,success,success,0.96742671,0.96742671,1.07220217,2.97,3.07,3.07,2.77,4,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q88,12,5.01,2.76,2.77,2.66,success,success,success,success,1.81521739,1.80866426,1.88345865,5.01,2.66,2.66,2.56,12,1,1,18
tpcds_sf10_t1,TPCDS SF10,1,Q89,0,1.23,0.93,0.93,0.92,success,success,success,success,1.32258065,1.32258065,1.33695652,1.23,0.92,0.92,0.92,0,4,1,0
tpcds_sf10_t1,TPCDS SF10,1,Q90,0,0.41,0.31,0.31,0.31,success,success,success,success,1.32258065,1.32258065,1.32258065,0.41,0.31,0.31,0.31,0,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q91,0,0.21,0.21,0.21,0.21,success,success,success,success,1,1,1,0.21,0.21,0.21,0.21,0,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q92,11,0.41,0.41,0.41,0.31,success,success,success,success,1,1,1.32258065,0.41,0.41,0.41,0.31,11,0,0,0
